,sentence,names
0,東京農工大学は、ブルーベリーを１年を通じて収穫できる技術を開発した。,ブルーベリー
1,それからは晩生ハクサイの「冬月９０」がみるみる大きくなり始めました。,ハクサイ
2,農作業の省力化に向け、立性で収穫しやすいホウレンソウ「徳兵衛」「寒兵衛」などの新品種も並べた。,ホウレンソウ 徳兵衛 寒兵衛
3,温暖な気候を生かし輸出向けのリンゴ育種に力を注いでいる。,リンゴ
4,育苗室には、タマネギ苗を抜き取って植えた後の土の入った育苗箱があります。そのまま利用してトウミョウ栽培をします。,タマネギ トウミョウ
5,鹿児島県のＪＡいぶすきは農家や県と協力し、ソラマメのしみ症を軽減する対策に乗り出した。,ソラマメ
6,農水省は２０２２年度、水田転作で飼料作物の子実用トウモロコシの増産を促す。,トウモロコシ
7,福岡県のＪＡ筑前あさくらは「博多万能ねぎ」の船便輸送で鮮度保持に成功し、東南アジア向けの輸出を軌道に乗せた。,博多万能ねぎ
8,鹿児島県のＪＡいぶすきなどで、ピーマンの害虫・アブラムシ類防除に複数天敵を組み合わせる試みが始まった。,ピーマン
9,増加傾向だった子実用ナタネの収穫量が減少している。,ナタネ
